Leanna,F,22773
Leitha,F,731
Leone,F,6105
Lidie,F,91
Loma,F,2284
Lular,F,572
Magdalen,F,3108
Maymie,F,1054
Minervia,F,95
Muriel,F,54619
Neppie,F,38
Olie,F,420
Onie,F,1786
Osa,F,647
Otelia,F,1184
Paralee,F,1210
Patience,F,10354
Rella,F,1261
Rillie,F,69
Rosanna,F,13915
Theo,F,3195
Tilda,F,1872
Tishie,F,312
Tressa,F,6928
Viva,F,3479
Yetta,F,3788
Zena,F,5186
Zola,F,6909
Abby,F,56135
Aileen,F,33450
Alba,F,5750
Alda,F,4951
Alla,F,1120
Alverta,F,2441
Ara,F,2974
Ardelia,F,1370
Ardella,F,3453
Arrie,F,1718
Arvilla,F,2931
Augustine,F,3585
Aurora,F,43657
Bama,F,498
Bena,F,594
Byrd,F,253
Calla,F,2998
Camilla,F,19933
Carey,F,12679
Carlotta,F,6163
Celestia,F,1113
Cherry,F,11282
Cinda,F,4590
Classie,F,1607
Claudine,F,11298
Clemie,F,211
Clifford,F,2019
Clyda,F,758
Creola,F,1742
Debbie,F,187601
Dee,F,15835
Dinah,F,10056
Doshia,F,763
Ednah,F,75
Edyth,F,2224
Eleanora,F,5746
Electa,F,1174
Eola,F,740
Erie,F,1394
Eudora,F,2037
Euphemia,F,651
Evalena,F,1224
Evaline,F,1485
Faith,F,127984
Fidelia,F,706
Freddie,F,10241
Golda,F,5903
Harry,F,2017
Helma,F,595
Hermine,F,1534
Hessie,F,1118
Ivah,F,845
Janette,F,31791
Jennette,F,3516
Joella,F,3588
Kathryne,F,5874
Lacy,F,19390
Lanie,F,4626
Lauretta,F,9605
Leana,F,4247
Leatha,F,6023
Leo,F,1900
Liller,F,333
Lillis,F,637
Louetta,F,1520
Madie,F,3155
Mai,F,5168
Martina,F,16883
Maryann,F,61890
Melva,F,14144
Mena,F,1284
Mercedes,F,44199
Merle,F,14715
Mima,F,719
Minda,F,1585
Monica,F,246872
Nealie,F,771
Netta,F,1049
Nolia,F,517
Nonie,F,1349
Odelia,F,2454
Ottilie,F,712
Phyllis,F,322316
Robbie,F,22230
Sabina,F,7235
Sada,F,1216
Sammie,F,7494
Suzanne,F,218688
Sybilla,F,174
Thea,F,9527
Tressie,F,5326
Vallie,F,3135
Venie,F,341
Viney,F,376
Wilhelmine,F,519
Winona,F,10820
Zelda,F,12409
Zilpha,F,570
Adelle,F,4998
Adina,F,5892
Adrienne,F,66084
Albertine,F,2196
Alys,F,1186
Ana,F,97397
Araminta,F,257
Arthur,F,3188
Birtha,F,1973
Bulah,F,3027
Caddie,F,96
Celie,F,488
Charlotta,F,966
Clair,F,4012
Concepcion,F,5170
Cordella,F,377
Corrine,F,20400
Delila,F,3079
Delphine,F,10002
Dosha,F,384
Edgar,F,705
Elaine,F,256254
Elisa,F,40736
Ellar,F,511
Elmire,F,213
Elvina,F,2506
Ena,F,3158
Estie,F,279
Etter,F,476
Fronnie,F,213
Genie,F,2695
Georgina,F,15086
Glenn,F,2137
Gracia,F,1816
Guadalupe,F,63997
Gwendolyn,F,116130
Hassie,F,1543
Honora,F,1524
Icy,F,1087
Isa,F,2491
Isadora,F,3070
Jesse,F,11793
Jewel,F,39088
Joe,F,11321
Johannah,F,2824
Juana,F,17205
Judith,F,451504
Judy,F,381638
Junie,F,1250
Lavonia,F,1901
Lella,F,854
Lemma,F,262
Letty,F,3183
Linna,F,807
Littie,F,623
Lollie,F,1014
Lorene,F,39159
Louis,F,2820
Love,F,2440
Lovisa,F,27
Lucina,F,1230
Lynn,F,181648
Madora,F,357
Mahalia,F,1863
Manervia,F,40
Manuela,F,10237
Margarett,F,4899
Margaretta,F,2534
Margarita,F,39092
Marilla,F,670
Mignon,F,2239
Mozella,F,1823
Natalie,F,335556
Nelia,F,1430
Nolie,F,271
Omie,F,1145
Opal,F,68516
Ossie,F,2912
Ottie,F,1264
Ottilia,F,516
Parthenia,F,1385
Penelope,F,46070
Pinkey,F,579
Pollie,F,1265
Rennie,F,879
Reta,F,8614
Roena,F,984
Rosalee,F,10024
Roseanna,F,5605
Ruthie,F,20397
Sabra,F,4884
Sannie,F,21
Selena,F,46980
Sibyl,F,4309
Tella,F,54
Tempie,F,1681
Tennessee,F,711
Teressa,F,6463
Texas,F,212
Theda,F,6534
Thelma,F,225171
Thursa,F,150
Ula,F,1576
Vannie,F,830
Verona,F,4083
Vertie,F,1543
Wilma,F,139679
John,M,5095674
William,M,4071645
James,M,5120990
Charles,M,2371621
George,M,1457646
Frank,M,908411
Joseph,M,2581785
Thomas,M,2290364
Henry,M,658153
Robert,M,4803068
Edward,M,1283884
Harry,M,420113
Walter,M,618211
Arthur,M,524400
Fred,M,342650
Albert,M,486180
Samuel,M,728815
David,M,3589754
Louis,M,392390
Joe,M,449947
Charlie,M,164485
Clarence,M,302111
Richard,M,2558165
Andrew,M,1266115
Daniel,M,1882435
Ernest,M,300376
Will,M,43849
Jesse,M,412065
Oscar,M,194519
Lewis,M,149633
Peter,M,571188
Benjamin,M,706345
Frederick,M,259703
Willie,M,448091
Alfred,M,241104
Sam,M,122799
Roy,M,403216
Herbert,M,227591
Jacob,M,891432
Tom,M,139065
Elmer,M,127894
Carl,M,501839
Lee,M,230035
Howard,M,344443
Martin,M,303607
Michael,M,4323928
Bert,M,33474
Herman,M,135336
Jim,M,152752
Francis,M,283882
Harvey,M,118605
Eugene,M,377954
Ralph,M,412012
Ed,M,26149
Claude,M,90903
Edwin,M,238096
Ben,M,82019
Charley,M,23078
Paul,M,1383157
Edgar,M,149138
Isaac,M,255652
Otto,M,30768
Luther,M,65812
Lawrence,M,455571
Ira,M,52813
Patrick,M,667750
Guy,M,89300
Oliver,M,126646
Theodore,M,225674
Hugh,M,80724
Clyde,M,141496
Alexander,M,634998
August,M,38963
Floyd,M,153553
Homer,M,60612
Jack,M,668179
Leonard,M,290089
Horace,M,53944
Marion,M,71833
Philip,M,337438
Allen,M,265251
Archie,M,49950
Stephen,M,854012
Chester,M,120500
Willis,M,51751
Raymond,M,769272
Rufus,M,35780
Warren,M,174025
Jessie,M,109560
Milton,M,116465
Alex,M,264449
Leo,M,186833
Julius,M,75245
Ray,M,201421
Sidney,M,82564
Bernard,M,198579
Dan,M,105605
Jerry,M,611039
Calvin,M,194644
Perry,M,74588
Dave,M,63717
Anthony,M,1413852
Eddie,M,208584
Amos,M,32379
Dennis,M,616255
Clifford,M,186797
Leroy,M,198349
Wesley,M,205354
Alonzo,M,40059
Garfield,M,5546
Franklin,M,133965
Emil,M,31539
Leon,M,162166
Nathan,M,527051
Harold,M,548982
Matthew,M,1566027
Levi,M,123049
Moses,M,37232
Everett,M,95976
Lester,M,129597
Winfield,M,5136
Adam,M,539596
Lloyd,M,159918
Mack,M,37405
Fredrick,M,63298
Jay,M,187108
Jess,M,24822
Melvin,M,241701
Noah,M,337499
Aaron,M,560843
Alvin,M,157557
Norman,M,251426
Gilbert,M,128414
Elijah,M,253906
Victor,M,310540
Gus,M,18309
Nelson,M,76032
Jasper,M,36073
Silas,M,37047
Jake,M,118579
Christopher,M,2004667
Mike,M,203964
Percy,M,31278
Adolph,M,18704
Maurice,M,133301
Cornelius,M,35409
Felix,M,65428
Reuben,M,29379
Wallace,M,80933
Claud,M,10892
Roscoe,M,21439
Sylvester,M,42552
Earnest,M,58115
Hiram,M,13441
Otis,M,57247
Simon,M,55721
Willard,M,77190
Irvin,M,38963
Mark,M,1345859
Jose,M,550668
Wilbur,M,56587
Abraham,M,83718
Virgil,M,71011
Clinton,M,96258
Elbert,M,33401
Leslie,M,112593
Marshall,M,88463
Owen,M,158270
Wiley,M,16792
Anton,M,22313
Morris,M,70020
Manuel,M,180552
Phillip,M,305865
Augustus,M,14893
Emmett,M,45886
Eli,M,101384
Nicholas,M,884221
Wilson,M,44699
Alva,M,11177
Harley,M,37819
Newton,M,7916
Timothy,M,1063460
Marvin,M,249493
Ross,M,80387
Curtis,M,257005
Edmund,M,50365
Jeff,M,119764
Elias,M,66056
Harrison,M,66628
Stanley,M,298096
Columbus,M,7485
Lon,M,9797
Ora,M,5581
Ollie,M,15894
Pearl,M,3919
Russell,M,351297
Solomon,M,30182
Arch,M,2422
Asa,M,15118
Clayton,M,126765
Enoch,M,9824
Irving,M,43259
Mathew,M,73901
Nathaniel,M,256856
Scott,M,769884
Hubert,M,57243
Lemuel,M,9276
Andy,M,86483
Ellis,M,39200
Emanuel,M,47770
Joshua,M,1184722
Millard,M,16689
Vernon,M,145210
Wade,M,67048
Cyrus,M,19522
Miles,M,70629
Rudolph,M,53110
Sherman,M,38867
Austin,M,397174
Bill,M,160195
Chas,M,3191
Lonnie,M,93511
Monroe,M,15690
Byron,M,79086
Edd,M,5437
Emery,M,17121
Grant,M,117838
Jerome,M,159125
Max,M,141518
Mose,M,7686
Steve,M,239810
Gordon,M,152500
Abe,M,9014
Pete,M,42999
Chris,M,143114
Clark,M,42857
Gustave,M,5323
Orville,M,34922
Lorenzo,M,59897
Bruce,M,380835
Marcus,M,224769
Preston,M,106853
Bob,M,92875
Dock,M,5366
Donald,M,1409708
Jackson,M,207148
